업종명,업소명,소재지(도로명),소재지(지번),소재지전화,관리기관전화번호,관리기관명
일반음식점,도산식당,경상북도 구미시 지산1길 26 (지산동),경상북도 구미시 지산동 381번지 21호  ,054-452-4179,054-480-5548,경상북도 구미시청
일반음식점,한양매운탕,경상북도 구미시 낙동강변로 694-4 (비산동),경상북도 구미시 비산동 51번지 1호  ,054-463-4873,054-480-5548,경상북도 구미시청
일반음식점,완전식당,경상북도 구미시 선산읍 남문로 19-27,경상북도 구미시 선산읍 완전리 256번지 7호  ,054-481-5664,054-480-5548,경상북도 구미시청
일반음식점,태평반점,경상북도 구미시 1공단로7길 86-9 (공단동),경상북도 구미시 공단동 201번지  ,054-463-3533,054-480-5548,경상북도 구미시청
일반음식점,진주,"경상북도 구미시 1공단로7길 86-1 (공단동,205호)",경상북도 구미시 공단동 203번지 205호 ,054-463-2143,054-480-5548,경상북도 구미시청
일반음식점,양자강식당,경상북도 구미시 1공단로7길 91 (공단동),경상북도 구미시 공단동 205번지 1호  ,054-463-6212,054-480-5548,경상북도 구미시청
일반음식점,윤실네진부령황태,"경상북도 구미시 선산읍 선주로 155-9, 1층",경상북도 구미시 선산읍 동부리 787번지 1층 ,054-482-5543,054-480-5548,경상북도 구미시청
일반음식점,광명식당,경상북도 구미시 선산읍 남문로2길 8-1,경상북도 구미시 선산읍 동부리 306번지 4호  ,054-481-3687,054-480-5548,경상북도 구미시청
일반음식점,개미식당,경상북도 구미시 장천면 장군로 1,경상북도 구미시 장천면 상장리 879번지 1호  ,054-471-5003,054-480-5548,경상북도 구미시청
일반음식점,무이식당,,경상북도 구미시 무을면 무이리 157번지  ,,054-480-5548,경상북도 구미시청
일반음식점,상송식당,경상북도 구미시 무을면 상무로 608-8,경상북도 구미시 무을면 상송리 752번지 2호  ,054-481-9167,054-480-5548,경상북도 구미시청
일반음식점,산동고향순대식당,경상북도 구미시 산동면 강동로 1005-6,경상북도 구미시 산동면 적림리 524번지 37호  ,054-471-3501,054-480-5548,경상북도 구미시청
일반음식점,아지트실내포차,"경상북도 구미시 상사동로 133, 1층 (사곡동)",경상북도 구미시 사곡동 515번지 4호  ,054-461-8858,054-480-5548,경상북도 구미시청
일반음식점,새돼지식당,경상북도 구미시 칠성로6길 50 (신평동),경상북도 구미시 신평동 150번지 32호  ,054-463-2585,054-480-5548,경상북도 구미시청
일반음식점,한밭식당,경상북도 구미시 선산읍 선산중앙로 53-2,경상북도 구미시 선산읍 노상리 128번지 1호  ,054-481-5084,054-480-5548,경상북도 구미시청
일반음식점,캠프김밥사곡점,경상북도 구미시 상사동로 153 (사곡동),"경상북도 구미시 사곡동 481번지 9호 481-6,9 ",054-463-4055,054-480-5548,경상북도 구미시청
일반음식점,진마야식당,경상북도 구미시 선산읍 선산중앙로 56,경상북도 구미시 선산읍 노상리 148번지 2호  ,054-482-5442,054-480-5548,경상북도 구미시청
일반음식점,대구식당,경상북도 구미시 고아읍 선산대로 983-1,경상북도 구미시 고아읍 관심리 689번지 1호  ,054-482-3234,054-480-5548,경상북도 구미시청
일반음식점,신초원식당,경상북도 구미시 송원동로 72 (원평동),경상북도 구미시 원평동 1073번지 1호 원평동 4B 2L ,054-453-2876,054-480-5548,경상북도 구미시청
일반음식점,금오산분식식당,경상북도 구미시 송원동로 72 (원평동),경상북도 구미시 원평동 1073번지 1호  ,054-453-0563,054-480-5548,경상북도 구미시청
일반음식점,오거리식당,경상북도 구미시 구미중앙로5길 9 (원평동),경상북도 구미시 원평동 110번지 28호  ,054-453-2631,054-480-5548,경상북도 구미시청
일반음식점,도립도서관구내식당,경상북도 구미시 산책길 41 (원평동),경상북도 구미시 원평동 468번지 1호  ,054-452-1511,054-480-5548,경상북도 구미시청
일반음식점,행복반점,경상북도 구미시 선산읍 선산중앙로16길 19-1,경상북도 구미시 선산읍 완전리 200번지 10호  ,054-481-2713,054-480-5548,경상북도 구미시청
일반음식점,장천식육식당,경상북도 구미시 장천면 강동로 197,경상북도 구미시 장천면 상장리 879번지 4호  ,054-471-5021,054-480-5548,경상북도 구미시청
일반음식점,화신막창식당,경상북도 구미시 해평면 문량3길 17-2,경상북도 구미시 해평면 문량리 102번지  ,054-474-4725,054-480-5548,경상북도 구미시청
일반음식점,안성식당,경상북도 구미시 인동중앙로 23-3 (황상동),경상북도 구미시 황상동 308번지 1호  ,054-471-0117,054-480-5548,경상북도 구미시청
일반음식점,나룻터식당(진미동),"경상북도 구미시 수출대로 326-30, 1층 (임수동)",경상북도 구미시 임수동 384번지 1호  ,054-427-477,054-480-5548,경상북도 구미시청
일반음식점,일성바베큐,경상북도 구미시 선산읍 선산중앙로8길 19,경상북도 구미시 선산읍 이문리 107번지 5호  ,054-481-7447,054-480-5548,경상북도 구미시청
일반음식점,고아반점,경상북도 구미시 고아읍 선산대로 971,경상북도 구미시 고아읍 관심리 673번지 2호  ,054-481-6447,054-480-5548,경상북도 구미시청
일반음식점,약목순대식당,경상북도 구미시 칠성로6길 50 (신평동),경상북도 구미시 신평동 150번지 32호  ,054-463-3969,054-480-5548,경상북도 구미시청
일반음식점,맥시칸양념통닭,경상북도 구미시 인동중앙로8길 8 (인의동),경상북도 구미시 인의동 367번지 18호  ,054-473-3397,054-480-5548,경상북도 구미시청
일반음식점,시장순대통닭,경상북도 구미시 인동중앙로5길 16-10 (황상동),경상북도 구미시 황상동 307번지 13호  ,054-472-9359,054-480-5548,경상북도 구미시청
일반음식점,이화보양가든,경상북도 구미시 선산읍 선주로 109,경상북도 구미시 선산읍 완전리 48번지 13호  ,054-481-2199,054-480-5548,경상북도 구미시청
일반음식점,천지연,"경상북도 구미시 고아읍 봉한3길 4 (,911-152,911-153)","경상북도 구미시 고아읍 봉한리 911번지 151호 ,911-152,911-153 ",054-443-2343,054-480-5548,경상북도 구미시청
일반음식점,비산한식뷔페,"경상북도 구미시 신비로 156, 1층 (비산동)",경상북도 구미시 비산동 373번지 1층 ,054-461-8473,054-480-5548,경상북도 구미시청
일반음식점,임오식당,경상북도 구미시 임은길 47 (임은동),경상북도 구미시 임은동 374번지 3호  ,054-463-7291,054-480-5548,경상북도 구미시청
일반음식점,딸랑분식,경상북도 구미시 여헌로14길 2 (인의동),경상북도 구미시 인의동 429번지 4호  ,054-471-1620,054-480-5548,경상북도 구미시청
일반음식점,처갓집양념통닭 구미1호점,경상북도 구미시 칠성로2길 47 (신평동),경상북도 구미시 신평동 150번지 17호  ,054-463-4545,054-480-5548,경상북도 구미시청
일반음식점,해평순대집식당,"경상북도 구미시 인동중앙로 23-3 (황상동,외4필지)",경상북도 구미시 황상동 308번지 1호 외4필지 ,054-471-0782,054-480-5548,경상북도 구미시청
일반음식점,바다양푼이동태탕백숙,경상북도 구미시 고아읍 지산25길 10-32,경상북도 구미시 고아읍 문성리 815번지 3호  ,054-453-3884,054-480-5548,경상북도 구미시청
일반음식점,동네식당,경상북도 구미시 장천면 강동로 177-42,경상북도 구미시 장천면 상장리 935번지 2호  ,054-453-0524,054-480-5548,경상북도 구미시청
일반음식점,순이네본가,"경상북도 구미시 산업로6길 40, 1층 (원평동)",경상북도 구미시 원평동 158번지 27호 1층 ,054- 53-2246,054-480-5548,경상북도 구미시청
일반음식점,동래식당,경상북도 구미시 칠성로6길 50 (신평동),경상북도 구미시 신평동 150번지 32호  ,054-461-1082,054-480-5548,경상북도 구미시청
일반음식점,한양족발식당,경상북도 구미시 산호대로 179 (공단동),경상북도 구미시 공단동 262번지 4호  ,054-461-7955,054-480-5548,경상북도 구미시청
일반음식점,향교식당,경상북도 구미시 수출대로 335 (임수동),경상북도 구미시 임수동 409번지 3호  ,054-472-9945,054-480-5548,경상북도 구미시청
일반음식점,마마왕족발,경상북도 구미시 구미중앙로9길 18 (원평동),경상북도 구미시 원평동 117번지 18호  ,054-442-6363,054-480-5548,경상북도 구미시청
일반음식점,태평양식당,"경상북도 구미시 구미중앙로9길 11, 가동 203호 (원평동)",경상북도 구미시 원평동 117번지 20호  가동 230호,054-455-0051,054-480-5548,경상북도 구미시청
일반음식점,원평맛사랑분식,경상북도 구미시 구미중앙로 61-5 (원평동),경상북도 구미시 원평동 119번지 17호  ,054-455-7303,054-480-5548,경상북도 구미시청
일반음식점,메콩타이구미금오산점,경상북도 구미시 금오산상가길 39-10 (남통동),경상북도 구미시 남통동 296번지 5호  ,054-455-0481,054-480-5548,경상북도 구미시청
일반음식점,돌담식당,경상북도 구미시 금오산상가길 39-5 (남통동),경상북도 구미시 남통동 305번지 2호  ,054-455-5115,054-480-5548,경상북도 구미시청
일반음식점,큰나무집 궁중약백숙,경상북도 구미시 공원로 28 (남통동),경상북도 구미시 남통동 308번지 7호  ,054-444-0122,054-480-5548,경상북도 구미시청
일반음식점,법성백숙,경상북도 구미시 공원로 20 (남통동),경상북도 구미시 남통동 299번지  ,054-455-8842,054-480-5548,경상북도 구미시청
일반음식점,금오당,경상북도 구미시 금오산상가길 35-6 (남통동),경상북도 구미시 남통동 305번지 8호  ,054-461-9801,054-480-5548,경상북도 구미시청
일반음식점,우묵베미식당,경상북도 구미시 산호대로 179 (공단동),경상북도 구미시 공단동 262번지 4호  ,054-461-6028,054-480-5548,경상북도 구미시청
일반음식점,광장식당,경상북도 구미시 선산읍 선상서로4길 23,경상북도 구미시 선산읍 완전리 432번지 30호  ,054-481-3610,054-480-5548,경상북도 구미시청
일반음식점,성원한식당,경상북도 구미시 고아읍 들성로11길 6-37,경상북도 구미시 고아읍 문성리 1308번지  ,054-481-6710,054-480-5548,경상북도 구미시청
일반음식점,임실치즈피자미스터파파,경상북도 구미시 선산읍 남문로 22,경상북도 구미시 선산읍 동부리 309번지 10호  ,054-481-8353,054-480-5548,경상북도 구미시청
일반음식점,장원반점,경상북도 구미시 선산읍 선산중앙로8길 17,경상북도 구미시 선산읍 이문리 107번지 1호  ,054-481-6675,054-480-5548,경상북도 구미시청
일반음식점,백송식당,경상북도 구미시 선산읍 단계서길 57,경상북도 구미시 선산읍 노상리 150번지 7호  ,054-481-6246,054-480-5548,경상북도 구미시청
일반음식점,도원식당,,경상북도 구미시 해평면 낙성리 15번지 7호  ,054-454-4048,054-480-5548,경상북도 구미시청
일반음식점,대혜골백숙,경상북도 구미시 금오산상가길 37 (남통동),경상북도 구미시 남통동 305번지 6호  ,054-443-6234,054-480-5548,경상북도 구미시청
일반음식점,광명식육식당,경상북도 구미시 화신로8길 14-8 (광평동),경상북도 구미시 광평동 170번지 2호  ,054-455-2080,054-480-5548,경상북도 구미시청
일반음식점,감포참가자미,"경상북도 구미시 인동15길 22-3 (인의동,1층)",경상북도 구미시 인의동 655번지 8호 1층 ,054-463-9007,054-480-5548,경상북도 구미시청
일반음식점,서민막창,경상북도 구미시 금오산로 100 (원평동),경상북도 구미시 원평동 429번지 26호  ,054-442-8798,054-480-5548,경상북도 구미시청
일반음식점,상록식육식당,경상북도 구미시 금오산로16길 9 (원평동),경상북도 구미시 원평동 428번지 18호  ,054-452-7809,054-480-5548,경상북도 구미시청
일반음식점,서울보쌈족발,"경상북도 구미시 형곡로12길 6-16, 1층 (형곡동)",경상북도 구미시 형곡동 132번지 13호 1층 ,054-455-7177,054-480-5548,경상북도 구미시청
일반음식점,강원식당,경상북도 구미시 형곡로 114 (형곡동),경상북도 구미시 형곡동 159번지 4호  ,054-455-2767,054-480-5548,경상북도 구미시청
일반음식점,버드나무식당,경상북도 구미시 공원로 26 (남통동),경상북도 구미시 남통동 296번지 7호  ,054-452-5069,054-480-5548,경상북도 구미시청
일반음식점,견우와직녀,경상북도 구미시 금오산상가길 9-12 (남통동),경상북도 구미시 남통동 291번지  ,054-456-7727,054-480-5548,경상북도 구미시청
일반음식점,송정백숙식당,경상북도 구미시 금오산상가길 35-2 (남통동),경상북도 구미시 남통동 305번지 4호  ,054-452-8517,054-480-5548,경상북도 구미시청
일반음식점,참칼국수식당,경상북도 구미시 신시로10길 66 (송정동),경상북도 구미시 송정동 481번지  ,054-451-4764,054-480-5548,경상북도 구미시청
일반음식점,경남분식,경상북도 구미시 칠성로6길 48 (신평동),경상북도 구미시 신평동 150번지 4호  ,,054-480-5548,경상북도 구미시청
일반음식점,옛날소주방식당,경상북도 구미시 구미중앙로25길 34 (원평동),경상북도 구미시 원평동 1021번지 3호  ,054-453-7655,054-480-5548,경상북도 구미시청
일반음식점,밤나무가든,경상북도 구미시 박정희로19길 35-10 (사곡동),경상북도 구미시 사곡동 448번지 1호  ,054-463-1456,054-480-5548,경상북도 구미시청
일반음식점,원호동촌,경상북도 구미시 고아읍 문장로23길 22-9,경상북도 구미시 고아읍 원호리 416번지  ,,054-480-5548,경상북도 구미시청
일반음식점,원조장천할매손칼국수,경상북도 구미시 장천면 상장5길 7,경상북도 구미시 장천면 상장리 919번지 29호  ,,054-480-5548,경상북도 구미시청
일반음식점,도리사가든,경상북도 구미시 해평면 도리사로 397,경상북도 구미시 해평면 송곡리 398번지 2호  ,054-454-4868,054-480-5548,경상북도 구미시청
일반음식점,토종흑소 전문점,,경상북도 구미시 해평면 낙산리 130번지  ,054-474-7977,054-480-5548,경상북도 구미시청
일반음식점,참치킨,경상북도 구미시 해평면 강동로 1621,경상북도 구미시 해평면 낙성리 67번지 2호  ,054-474-8767,054-480-5548,경상북도 구미시청
일반음식점,치키치키도량점,경상북도 구미시 문장로3길 26 (도량동),경상북도 구미시 도량동 560번지 2호  ,054-456-2767,054-480-5548,경상북도 구미시청
일반음식점,광푸드,경상북도 구미시 신비로 153-11 (비산동),경상북도 구미시 비산동 386번지 6호  ,054-463-1313,054-480-5548,경상북도 구미시청
일반음식점,다운칼국수,경상북도 구미시 임은길 52 (임은동),경상북도 구미시 임은동 374번지 4호  ,054-464-0700,054-480-5548,경상북도 구미시청
일반음식점,아름식당,경상북도 구미시 1공단로 192 (공단동),경상북도 구미시 공단동 264번지 18호  ,054-461-5393,054-480-5548,경상북도 구미시청
일반음식점,나들이,경상북도 구미시 1공단로 192 (공단동),경상북도 구미시 공단동 264번지 18호  ,054-463-9121,054-480-5548,경상북도 구미시청
일반음식점,도개분식,"경상북도 구미시 송원동로 32-6 (송정동,14호)",경상북도 구미시 송정동 64번지 14호 ,054-455-5678,054-480-5548,경상북도 구미시청
일반음식점,치킨코아 선산점,경상북도 구미시 선산읍 선주로 94,경상북도 구미시 선산읍 노상리 105번지 6호  ,054-482-3823,054-480-5548,경상북도 구미시청
일반음식점,516식당,경상북도 구미시 선산읍 선산중앙로16길 28-1,경상북도 구미시 선산읍 완전리 180번지 25호  ,054-481-7269,054-480-5548,경상북도 구미시청
일반음식점,지코바숯불양념치킨선산점,"경상북도 구미시 선산읍 선산중앙로 59-2 (,122-4)","경상북도 구미시 선산읍 노상리 368번지 6호 ,122-4 ",054-481-9909,054-480-5548,경상북도 구미시청
일반음식점,다정식당,"경상북도 구미시 선산읍 동교13길 3, 1층",경상북도 구미시 선산읍 교리 1197번지 1층 ,054-482-7744,054-480-5548,경상북도 구미시청
일반음식점,멕시카나양념통닭,경상북도 구미시 산동면 강동로 1017,경상북도 구미시 산동면 적림리 71번지 9호  ,,054-480-5548,경상북도 구미시청
일반음식점,투다리꼬치꾸이공단1점,경상북도 구미시 산호대로 199 (공단동),경상북도 구미시 공단동 263번지  ,054-461-9290,054-480-5548,경상북도 구미시청
일반음식점,상해반점,"경상북도 구미시 광평길 25, 1층 (광평동)",경상북도 구미시 광평동 87번지 13호 1층 ,054-461-4246,054-480-5548,경상북도 구미시청
일반음식점,대영석쇠구이,경상북도 구미시 선산대로 165 (지산동),경상북도 구미시 지산동 104번지 10호  ,054-453-5489,054-480-5548,경상북도 구미시청
일반음식점,동산구이식당,경상북도 구미시 형곡서로 31 (형곡동),경상북도 구미시 형곡동 310번지 2호  ,054-457-4040,054-480-5548,경상북도 구미시청
일반음식점,터미널포차,경상북도 구미시 송원동로 69 (원평동),경상북도 구미시 원평동 1072번지 6호  ,054-453-6839,054-480-5548,경상북도 구미시청
일반음식점,비아보스코,경상북도 구미시 금오산상가길 39-2 (남통동),경상북도 구미시 남통동 307번지 3호  ,,054-480-5548,경상북도 구미시청
일반음식점,민속순대곱창,경상북도 구미시 형곡로 186 (형곡동),경상북도 구미시 형곡동 321번지  ,054-455-6847,054-480-5548,경상북도 구미시청
일반음식점,원풍식당,경상북도 구미시 선산읍 단계서4길 8,경상북도 구미시 선산읍 노상리 53번지 4호  ,054-482-0388,054-480-5548,경상북도 구미시청
일반음식점,고향반점,경상북도 구미시 고아읍 문장로27길 10,경상북도 구미시 고아읍 원호리 411번지 5호  ,054-443-4413,054-480-5548,경상북도 구미시청
일반음식점,아방이왕순대,경상북도 구미시 선산읍 선상서로 319,경상북도 구미시 선산읍 죽장리 997번지 2호  ,054-481-6549,054-480-5548,경상북도 구미시청
일반음식점,교동왕족발,"경상북도 구미시 선산읍 동교5길 12-8, 1층 103호 (우창콤비타운)",경상북도 구미시 선산읍 교리 1154번지 우창콤비타운 1층 103호,054-482-1285,054-480-5548,경상북도 구미시청
일반음식점,우창반점,경상북도 구미시 선산읍 동교5길 12-8 (우창콤비타운),경상북도 구미시 선산읍 교리 1154번지 우창콤비타운 ,054-482-0664,054-480-5548,경상북도 구미시청
일반음식점,문성보양탕,경상북도 구미시 고아읍 문성9길 10,경상북도 구미시 고아읍 문성리 53번지 13호 외 1필 ,054-454-8591,054-480-5548,경상북도 구미시청
일반음식점,양정식당,경상북도 구미시 무을면 상무로 952-1,경상북도 구미시 무을면 무수리 938번지 6호  ,054-481-1978,054-480-5548,경상북도 구미시청
일반음식점,제일식당,경상북도 구미시 산동면 강동로 1010-1,경상북도 구미시 산동면 적림리 70번지 5호  ,,054-480-5548,경상북도 구미시청
일반음식점,멕시카나치킨장천점,경상북도 구미시 장천면 강동로 169-1 (나동),경상북도 구미시 장천면 상장리 707번지 2호 나동 ,054-473-4554,054-480-5548,경상북도 구미시청
일반음식점,파도회식당,경상북도 구미시 검성로 74 (황상동),경상북도 구미시 황상동 200번지 1호  ,054-471-1685,054-480-5548,경상북도 구미시청
일반음식점,울산식당,경상북도 구미시 구미중앙로9길 17 (원평동),"경상북도 구미시 원평동 115번지 12호 115-12,21 ",054-454-4248,054-480-5548,경상북도 구미시청
일반음식점,거제복집,"경상북도 구미시 신시로16길 49 (송정동, 1층)",경상북도 구미시 송정동 460번지 6호 1층 ,054-462-0096,054-480-5548,경상북도 구미시청
일반음식점,고아분식,"경상북도 구미시 구미중앙로9길 11, 2층동 225호 (원평동)",경상북도 구미시 원평동 117번지 20호  2층동 225호,054-455-4805,054-480-5548,경상북도 구미시청
일반음식점,로뎀슈퍼식당,경상북도 구미시 금오산상가길 9-4 (남통동),경상북도 구미시 남통동 270번지  ,054-452-7047,054-480-5548,경상북도 구미시청
일반음식점,배시내식당,"경상북도 구미시 광평길 16, 1층 (광평동)",경상북도 구미시 광평동 76번지 3호 1층 ,054-462-2912,054-480-5548,경상북도 구미시청
일반음식점,제일식당,경상북도 구미시 산호대로 199 (공단동),경상북도 구미시 공단동 263번지  ,054-463-8580,054-480-5548,경상북도 구미시청
일반음식점,인동지점홍천뚝배기,경상북도 구미시 수출대로 502 (황상동),경상북도 구미시 황상동 357번지 1호  ,054-471-2003,054-480-5548,경상북도 구미시청
일반음식점,원동왕족발,경상북도 구미시 구미중앙로9길 11 (원평동),경상북도 구미시 원평동 117번지 20호  ,054-452-6166,054-480-5548,경상북도 구미시청
일반음식점,시원진반찬,경상북도 구미시 신비로1길 6-5 (신평동),경상북도 구미시 신평동 70번지 253호  ,054-461-9533,054-480-5548,경상북도 구미시청
일반음식점,대동실내포장마차,"경상북도 구미시 원남로1길 64 (원평동,지층 1호)",경상북도 구미시 원평동 84번지 지층 1호 ,054-451-2484,054-480-5548,경상북도 구미시청
일반음식점,맛타운중앙점,"경상북도 구미시 구미중앙로 61-6, 1층 112호 (원평동)",경상북도 구미시 원평동 119번지 2호 1층 112호 ,054-453-6204,054-480-5548,경상북도 구미시청
일반음식점,헐랭이. 안동찜닭,"경상북도 구미시 원남로4길 27-2 (원평동,외 1필지)",경상북도 구미시 원평동 74번지 9호 외 1필지 ,054-452-0505,054-480-5548,경상북도 구미시청
일반음식점,멕시칸통닭,경상북도 구미시 해평면 강동로 1616,경상북도 구미시 해평면 낙성리 66번지 6호  ,054-455-8805,054-480-5548,경상북도 구미시청
일반음식점,투다리해평점,경상북도 구미시 해평면 강동로 1658,경상북도 구미시 해평면 월호리 469번지 13호  ,054-474-5518,054-480-5548,경상북도 구미시청
일반음식점,약목산곰장어,"경상북도 구미시 임은길 36, 1층 (임은동)",경상북도 구미시 임은동 318번지 2호 1층 , 033-651-0393,054-480-5548,경상북도 구미시청
일반음식점,파랑새포차,경상북도 구미시 임은길 33 (임은동),경상북도 구미시 임은동 320번지 1호  ,054-465-7758,054-480-5548,경상북도 구미시청
일반음식점,일미삼겹살,"경상북도 구미시 1공단로 186-17, 2층동 3호 (공단동)",경상북도 구미시 공단동 264번지 16호  2층동 3호,054-463-6919,054-480-5548,경상북도 구미시청
일반음식점,천일식당,경상북도 구미시 상사동로15길 6 (사곡동),경상북도 구미시 사곡동 515번지 3호  ,054-463-2145,054-480-5548,경상북도 구미시청
일반음식점,사곡멕시카나통닭,경상북도 구미시 상사동로16길 8 (사곡동),경상북도 구미시 사곡동 220번지 3호  ,054-461-1588,054-480-5548,경상북도 구미시청
일반음식점,보승루식당,경상북도 구미시 구미대로30길 26 (신평동),경상북도 구미시 신평동 361번지 15호  ,054-463-5461,054-480-5548,경상북도 구미시청
일반음식점,홍천뚝배기임은점,경상북도 구미시 임은길 58 (임은동),경상북도 구미시 임은동 377번지 5호  ,054-461-6645,054-480-5548,경상북도 구미시청
일반음식점,태화루반점,경상북도 구미시 비산로 65 (비산동),경상북도 구미시 비산동 345번지 4호  ,054-462-5700,054-480-5548,경상북도 구미시청
일반음식점,자유공간식당,경상북도 구미시 임은길 50 (임은동),경상북도 구미시 임은동 374번지 2호  ,054-461-5528,054-480-5548,경상북도 구미시청
일반음식점,개구리반점식당,경상북도 구미시 산업로4길 28 (원평동),경상북도 구미시 원평동 10번지 1호  ,054-455-7220,054-480-5548,경상북도 구미시청
일반음식점,동창생,경상북도 구미시 금오산상가길 9-8 (남통동),경상북도 구미시 남통동 270번지 3호  ,054-453-4271,054-480-5548,경상북도 구미시청
일반음식점,대영 보양촌,경상북도 구미시 금오시장로4길 7-1 (원평동),경상북도 구미시 원평동 1032번지 55호  ,054-453-3945,054-480-5548,경상북도 구미시청
일반음식점,남구미토종식당,경상북도 구미시 지주중류1길 66 (오태동),경상북도 구미시 오태동 164번지  ,054-464-2288,054-480-5548,경상북도 구미시청
일반음식점,선산고을식당,경상북도 구미시 신시로16길 83 (송정동),경상북도 구미시 송정동 457번지 6호  ,054-456-1400,054-480-5548,경상북도 구미시청
일반음식점,성주골식당,"경상북도 구미시 칠성로6길 56 (신평동,1층 10호)",경상북도 구미시 신평동 150번지 31호 1층 10호 ,054-461-4049,054-480-5548,경상북도 구미시청
일반음식점,교촌치킨형곡점,"경상북도 구미시 형곡로 100, 1층 102호 (형곡동)",경상북도 구미시 형곡동 152번지 4호 1층 102호,054-451-1922,054-480-5548,경상북도 구미시청
일반음식점,팔도식당,경상북도 구미시 비산로3길 14-3 (비산동),경상북도 구미시 비산동 349번지 2호  ,054-461-4324,054-480-5548,경상북도 구미시청
일반음식점,금오산성숯불갈비,경상북도 구미시 산업로 224 (원평동),경상북도 구미시 원평동 1050번지 2호  ,054-457-7500,054-480-5548,경상북도 구미시청
일반음식점,맛나돈,"경상북도 구미시 상사서로 112 (상모동,1층)",경상북도 구미시 상모동 536번지 1호 1층 ,054-457-5505,054-480-5548,경상북도 구미시청
일반음식점,이조곰탕,경상북도 구미시 구미중앙로31길 12 (원평동),경상북도 구미시 원평동 1037번지 40호  ,054-455-6188,054-480-5548,경상북도 구미시청
일반음식점,전원숯불사곡점,경상북도 구미시 새마을로 94 (사곡동),경상북도 구미시 사곡동 402번지  ,054-463-6575,054-480-5548,경상북도 구미시청
일반음식점,골목대장분식,경상북도 구미시 구미중앙로9길 14-2 (원평동),경상북도 구미시 원평동 119번지 7호  ,054-452-2935,054-480-5548,경상북도 구미시청
일반음식점,청운각,"경상북도 구미시 비산로 41, 1층 (비산동)",경상북도 구미시 비산동 341번지 8호 1층 ,054-461-1319,054-480-5548,경상북도 구미시청
일반음식점,교촌치킨상모점,"경상북도 구미시 상사서로 92, 1층 (상모동)",경상북도 구미시 상모동 42번지 7호 1층 ,054-461-3738,054-480-5548,경상북도 구미시청
일반음식점,무을순대본점,경상북도 구미시 선산읍 선상동로 108,경상북도 구미시 선산읍 생곡리 837번지  ,054-475-7118,054-480-5548,경상북도 구미시청
일반음식점,페리카나봉곡점,"경상북도 구미시 봉곡남로9길 35, 1층 (봉곡동)",경상북도 구미시 봉곡동 201번지 8호 1층 ,054-455-6150,054-480-5548,경상북도 구미시청
일반음식점,교촌치킨선산점,"경상북도 구미시 선산읍 선산중앙로 98-1, 1층",경상북도 구미시 선산읍 동부리 416번지 1층 ,054-482-4870,054-480-5548,경상북도 구미시청
일반음식점,국일식당,경상북도 구미시 선산읍 선주로 113,경상북도 구미시 선산읍 완전리 57번지 3호  ,054-481-5483,054-480-5548,경상북도 구미시청
